Новые комментарии,Поделились,"Отметки ""Не нравится""","Отметки ""Нравится""",Средний процент просмотра (%),Просмотры,Время просмотра (часы),Показы,CTR для значков видео (%)
2.0,2.0,0.0,10.0,37.17,386.0,30.9629,3684.0,4.4
1.0,1.0,0.0,3.0,17.51,100.0,3.3665,283.0,6.36
0.0,0.0,0.0,0.0,61.1,5.0,0.1222,480.0,0.63
0.0,0.0,0.0,0.0,31.85,16.0,0.7558,698.0,1.43
0.0,0.0,0.0,0.0,35.83,3.0,0.1603,127.0,0.79
0.0,0.0,0.0,0.0,90.72,1.0,0.028,37.0,0.0
0.0,0.0,0.0,0.0,57.81,2.0,0.0642,89.0,2.25
0.0,0.0,0.0,0.0,51.05,8.0,0.3472,128.0,3.13
0.0,0.0,0.0,0.0,10.8,5.0,0.0608,104.0,3.85
0.0,1.0,0.0,0.0,38.77,38.0,2.6559,457.0,3.94
0.0,0.0,2.0,3.0,30.84,115.0,5.4779,469.0,8.32
0.0,1.0,0.0,0.0,48.93,8.0,0.1392,124.0,4.03
0.0,0.0,0.0,0.0,99.96,1.0,0.0703,114.0,0.0
0.0,0.0,0.0,0.0,44.17,6.0,0.2267,119.0,1.68
0.0,0.0,0.0,0.0,30.55,3.0,0.0395,92.0,3.26
0.0,0.0,0.0,0.0,91.26,2.0,0.0416,72.0,1.39
0.0,0.0,0.0,0.0,24.63,26.0,1.3681,208.0,6.25
0.0,0.0,0.0,0.0,83.11,2.0,0.0554,98.0,0.0
0.0,0.0,0.0,0.0,55.35,7.0,0.6231,168.0,2.38
0.0,0.0,0.0,0.0,42.05,26.0,2.2504,248.0,6.05
0.0,0.0,0.0,1.0,42.13,17.0,1.6373,247.0,3.24
0.0,0.0,0.0,-1.0,53.55,21.0,1.284,110.0,10.0
0.0,0.0,0.0,0.0,21.97,2.0,0.0244,113.0,1.77
0.0,2.0,2.0,0.0,45.13,68.0,4.271,504.0,4.96
0.0,0.0,0.0,0.0,82.46,2.0,0.0756,94.0,1.06
0.0,0.0,0.0,0.0,35.24,10.0,0.1869,85.0,1.18
0.0,0.0,0.0,0.0,51.37,31.0,0.659,285.0,7.72
0.0,0.0,0.0,1.0,35.33,15.0,0.7008,205.0,3.41
0.0,0.0,0.0,0.0,45.29,4.0,0.1163,58.0,1.72
0.0,0.0,0.0,0.0,59.76,1.0,0.0211,46.0,0.0
0.0,0.0,0.0,0.0,51.39,6.0,0.358,110.0,3.64
0.0,0.0,0.0,0.0,2.44,1.0,0.0007,51.0,0.0
0.0,0.0,0.0,0.0,18.51,7.0,0.0457,94.0,2.13
0.0,0.0,0.0,0.0,22.08,44.0,1.1768,258.0,7.75
0.0,0.0,0.0,1.0,40.25,9.0,0.1197,163.0,3.07
0.0,0.0,0.0,0.0,24.22,10.0,0.596,155.0,4.52
0.0,0.0,0.0,0.0,39.8,4.0,0.0553,64.0,4.69
0.0,0.0,0.0,0.0,57.77,6.0,0.1579,171.0,1.75
0.0,1.0,1.0,1.0,50.75,16.0,0.8413,185.0,4.86
0.0,0.0,0.0,0.0,28.49,28.0,1.1635,362.0,5.25
